model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
0,2016,10999,19865.0,0,76.3,3,0,1,0,1,0,0,0,1
1,2017,18400,27672.0,125,49.6,5,0,1,0,0,0,1,0,1
1,2016,15945,27306.0,125,61.4,5,0,0,1,1,0,0,0,1
1,2015,8490,40000.0,20,68.9,5,0,1,0,1,0,0,0,1
5,2018,17297,31433.0,145,64.2,3,0,1,0,1,0,0,0,1
6,2019,26900,8800.0,145,39.8,2,0,1,0,0,0,1,0,1
3,2015,14940,46374.0,125,58.9,5,1,0,0,1,0,0,0,1
7,2019,38490,10200.0,145,38.2,5,1,0,0,1,0,0,0,1
1,2019,18700,11337.0,150,55.4,5,0,1,0,1,0,0,0,1
6,2019,36497,0.0,145,47.1,5,1,0,0,1,0,0,1,0
6,2017,20040,23166.0,145,47.9,1,0,0,1,0,0,1,0,1
2,2015,9995,69647.0,30,64.2,5,0,1,0,1,0,0,0,1
3,2018,27995,10312.0,150,51.4,6,0,0,1,1,0,0,0,1
6,2011,10599,35577.0,235,38.7,5,0,1,0,0,0,1,0,1
0,2016,13450,22652.0,0,72.4,3,0,1,0,1,0,0,0,1
6,2019,29799,2550.0,145,42.8,5,0,1,0,1,0,0,0,1
0,2020,18500,0.0,150,49.6,0,0,1,0,0,0,1,1,0
2,2013,8990,83000.0,30,62.8,5,0,1,0,1,0,0,0,1
1,2016,15879,12067.0,20,60.1,1,0,1,0,0,0,1,0,1
5,2018,18351,10581.0,145,52.3,1,0,1,0,0,0,1,0,1
4,2019,29490,1337.0,145,55.4,6,0,0,1,1,0,0,1,0
3,2019,30400,0.0,145,50.4,5,1,0,0,1,0,0,1,0
1,2019,21750,4909.0,145,51.4,3,0,1,0,1,0,0,0,1
6,2016,15699,52080.0,145,52.3,5,0,1,0,1,0,0,0,1
5,2017,19400,33679.0,145,57.7,5,0,0,1,1,0,0,0,1
5,2019,22000,5761.0,145,42.8,2,0,0,1,0,0,1,0,1
1,2016,14695,17856.0,20,60.1,1,0,1,0,0,0,1,0,1
